# BIP 75-15-540 - smooth
#
# last line must be "end", blank lines and # ignored
#
# phase (deg.) = a_0 + a_1 |tau| + a_2 + |tau|^2 + a_3 |tau|^2
#
# tau_max        a_0        a_1         a_2       a_3
   1.9840        0.00       0.000       1.4243   -0.03920
   3.9880        8.43      -8.882       3.9535   -0.13694
   5.9920      106.09     -73.563      17.9689   -1.12421
   7.9960     -163.25      82.551     -11.6331    0.71992
   8.9980    -1973.56     995.187    -154.9630    7.91199
   9.4990    -3376.91     366.465      36.7830   -3.70610
   9.7996  -124463.94   38356.720   -3936.1061  134.77807
  10.0000  -688333.33  208817.376  -21110.3978  711.46585
end
